prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,justification
102.128.144.0/20,N/A,AS37356,['AS328210'],Medium,"Both the origin AS (AS37356) and the authorized AS (AS328210) are registered in South Africa, indicating regional proximity. Historical records show a past merger involving AS37356, suggesting possible organizational changes. The conflict likely arises from delegated or upstream‑downstream announcements, prefix ownership transfers, or multi‑origin configurations, which are common sources of benign RPKI mismatches. No concrete evidence of a direct provider‑customer, sibling, or same‑organization relationship is present, so the assessment remains medium.",Likely caused by a delegated/upstream‑downstream announcement or operational misconfiguration between the two ASes.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",same region
102.129.157.0/24,N/A,AS49468,"['AS54339', 'AS209697', 'AS401838']",Medium,"There is no clear organizational or direct provider‑customer relationship between the origin AS49468 and the authorized ASes (AS54339, AS209697, AS401838). However, the prefix has been announced by one of the authorized ASes (AS209697) and multiple authorized ASes exist, suggesting a possible multi‑origin or upstream/downstream delegation scenario that could explain the invalid announcement, indicating a potential benign conflict but not definitively.",Multi‑origin announcement with partial ROA coverage or upstream/downstream delegation.,"['Hijacks', 'Multi-Origin with Partial ROA Coverage', 'Delegated / Upstream-Downstream Announcements', 'Others (Complex Peering/Transit Setup)']",weak relationship
102.129.208.0/24,N/A,AS13767,"['AS199737', 'AS212384']",Medium,"The origin AS (AS13767) is a data‑center provider, while the authorized ASes (AS199737 and AS212384) appear to be its customers or have previously announced the same prefix. Both the origin and authorized ASes are primarily located in the United States, indicating geographic proximity. No direct provider‑customer, sibling, or organizational link is confirmed in public relationship data, but the historical use of the prefix by AS212384 and the possibility of delegated upstream‑downstream announcements suggest the invalid route is more likely a benign misconfiguration than a malicious hijack.","The invalid announcement likely results from delegated upstream‑downstream announcements, possibly due to a misconfiguration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Complex Routing Environment Misconfiguration)']",weak relationship
103.116.244.0/24,N/A,AS139734,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",High,"The origin AS (AS139734) announces a prefix whose authorized ASes in the ROAs belong to the same corporate family (I LAYER LIMITED and its affiliates) and operate in the same geographic region (Hong Kong). Evidence of a recent prefix transfer or ownership change, combined with delegated upstream‑downstream announcements and multi‑origin partial ROA coverage, points to a coordinated internal re‑announcement rather than a malicious hijack.","The conflict likely stems from a recent prefix transfer/ownership change and delegated upstream‑downstream announcements within affiliated organizations, resulting in partial ROA coverage.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Organizational Structure)']",same organization
103.116.245.0/24,N/A,AS139734,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",Medium,"The origin AS139734 and all authorized ASes are associated with organizations that operate in Hong Kong and share the I LAYER LIMITED holder name, indicating a regional and possibly organizational connection. Historical multi‑origin announcements and a reported recent ownership transfer suggest delegated or upstream‑downstream usage, but there is no direct evidence of a same‑organization or explicit provider‑customer relationship, leading to a moderate confidence that the conflict is benign.",Delegated/upstream-downstream announcements combined with multi-origin partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex AS Ecosystem with Similar Holder Names)']",same region
103.116.246.0/23,N/A,AS139734,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",High,"The origin AS AS139734 appears to have inherited or transferred the prefix, and the authorized ASes listed in the ROAs are entities operating in the same Hong Kong region, with at least one (AS401696) sharing a holder name pattern with AS139734, indicating a close business or subsidiary relationship. The prefix’s geolocation matches the holder’s location, and the invalid announcement likely results from a delegated downstream announcement or an incomplete ROA update after the transfer, rather than a malicious hijack.",The invalid route is likely caused by a misconfigured ROA following a recent prefix transfer and partial multi-origin coverage.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",strong relationship
103.116.246.0/24,N/A,AS139734,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",Medium,"The origin AS (AS139734) and all authorized ASes are associated with entities that have a presence in Hong Kong, suggesting a possible business or shared‑infrastructure relationship; some authorized ASes share the holder name ""I LAYER LIMITED"", indicating potential organizational overlap. However, there is no direct evidence of a provider‑customer, sibling, or same‑organization relationship, so the conflict is likely benign but not definitively so.",Multi-Origin with Partial ROA Coverage and Delegated Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Shared Infrastructure or Organizational Context Misconfiguration)', 'Prefix Transfer / Ownership Change']",same region
103.116.247.0/24,N/A,AS139734,"['AS18013', 'AS40779', 'AS55933', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",Medium,"The origin AS139734 and the authorized ASes (AS18013, AS40779, AS55933, AS137899, AS142032, AS401696, AS401701) are all registered in Hong Kong and share a common resource holder (I LAYER LIMITED), indicating regional proximity and some operational overlap. However, there is no evidence of a direct same‑organization or provider‑customer relationship, and the prefix is announced by multiple ASes, suggesting a multi‑origin scenario with partial ROA coverage and a possible recent ownership transfer.","Multi‑origin with partial ROA coverage, likely resulting from delegated/upstream‑downstream announcements or a recent prefix transfer.","['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Regional AS Relationships)']",same region
103.120.120.0/24,N/A,AS139285,['AS137551'],Medium,"Both AS139285 and the authorized AS137551 are APNIC‑registered entities operating in the Asia‑Pacific region, and the prefix was transferred from HT Networks Co Ltd to REDLINK TELECOM Co., Ltd (AS137551). While the transfer and the presence of delegated/upstream‑downstream announcements suggest a possible operational relationship, there is no concrete evidence of a direct provider‑customer, sibling, or same‑organization link, making the conflict only partially supported as benign.",Prefix transfer with delegated/upstream-downstream announcements,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Others (Potential Regional/Business Partnership not explicitly documented)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
103.120.121.0/24,N/A,AS139285,['AS137551'],Medium,"The origin AS (AS139285) and the authorized AS (AS137551) are both located in the Asia‑Pacific region and IRR data suggest a possible delegated or upstream‑downstream arrangement, possibly linked to a recent prefix transfer from HT Networks to REDLINK TELECOM. While no direct provider‑customer or same‑organization relationship is confirmed, the geographic proximity and the nature of the prefix handover indicate a likely benign conflict, though the evidence is not definitive.",Delegated prefix announcement due to a recent ownership/transfer between AS137551 and AS139285.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential incomplete ROA updates or indirect relationships not captured in the data)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",weak relationship
103.120.122.0/24,N/A,AS139285,['AS137551'],Medium,"Both the origin AS (AS139285) and the authorized AS (AS137551) are located in the APNIC region and IRR records indicate a possible customer‑provider or upstream‑downstream relationship stemming from a recent prefix transfer. However, there is no direct evidence of a same‑organization or sibling relationship, leaving the connection uncertain and suggesting a moderate likelihood of a benign conflict.",Prefix transfer or upstream/downstream delegation,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Others (Potential indirect business relationship or regional cooperation not explicitly documented)', 'Multi-Origin with Partial ROA Coverage']",weak relationship
103.120.123.0/24,N/A,AS139285,['AS137551'],Medium,"There is no direct provider‑customer or sibling relationship between AS139285 and the authorized AS137551, but both operate in the APAC region and a recent prefix transfer to REDLINK TELECOM suggests an operational overlap. The conflict may stem from upstream/downstream delegation or a misconfiguration, rather than a clear malicious hijack.",Possible recent prefix transfer or upstream/downstream delegation leading to a misconfiguration.,"['Hijacks', 'Others', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)', 'Prefix Transfer / Ownership Change']",same region
