prefix,AS_path,origin_AS,authorized_ASes_in_ROAs,benign_level,explanation,possible_reason,factors,aggregation_confidence,model_agreement_summary
102.128.144.0/20,N/A,AS37356,['AS328210'],Medium,"Both the origin AS (AS37356) and the authorized AS (AS328210) are registered in South Africa, indicating regional proximity. Historical data suggests a possible prefix transfer or ownership change that has not yet been reflected in the ROA, and no clear provider‑customer or merger relationship is evident. This combination of same‑region presence and potential administrative lag points to a likely benign conflict rather than a malicious hijack.",Prefix transfer or ownership change leading to incomplete ROA updates.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Updates)']",,
102.140.68.0/24,N/A,AS37334,['AS328327'],Medium,"The origin AS (AS37334) and the authorized AS (AS328327) are both assigned by AFRINIC and located in Africa, indicating regional proximity, but there is no evidence of a direct provider‑customer, sibling, or organizational relationship; the RPKI‑invalid announcement is therefore more likely a misconfiguration or partial ROA coverage rather than a deliberate hijack.","Multi‑Origin with Partial ROA Coverage or delegated/upstream‑downstream announcement, likely due to misconfiguration between related ASes.","['Hijacks', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Partnership/Misconfiguration)']",,
103.101.191.116/32,N/A,AS133448,['AS138995'],High,"The origin AS133448 announces a /32 that is a more specific of the /24 owned by AS138995. Both ASes are registered in the APNIC region (Asia‑Pacific) and the prefix is primarily visible in Korea, indicating a regional operational link. Evidence from routing data suggests a customer‑provider or upstream‑downstream relationship, a common practice for delegating more specific prefixes, which points to a benign conflict despite the RPKI invalid status.","Delegated upstream-downstream announcement, possibly involving multi-origin with partial ROA coverage.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional Operational Practices)']",,
103.107.157.0/24,N/A,AS139341,['AS137406'],High,"AS139341 and the ROA‑authorized AS137406 appear to have a provider‑customer or sibling relationship; the announced /24 is a subprefix of the space owned by AS137406, indicating a legitimate delegation. Both ASes are APNIC‑assigned, located in the Philippines, and IRR records suggest a downstream relationship, implying the ROA may be mis‑configured to exclude the downstream AS.",Delegated upstream‑downstream announcement with a misconfigured ROA.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
103.120.120.0/24,N/A,AS139285,['AS137551'],Medium,"The origin AS139285 and the authorized AS137551 are both APNIC-assigned entities operating in the Asia‑Pacific region (Cambodia). AS139285 announces the more specific /24 that falls within the /22 prefix owned by AS137551, suggesting a delegated or upstream‑downstream relationship, possibly for traffic engineering or as part of a prefix transfer. No public data confirms a direct provider‑customer, sibling, or same‑organization link, but the geographic and operational proximity indicates a likely business relationship.","The invalid route likely results from a delegated or transferred announcement where AS139285 announces a more specific prefix on behalf of AS137551, without an updated ROA.","['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Third-Party Announcements (CDNs, cloud edges, etc.)', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
103.120.121.0/24,N/A,AS139285,['AS137551'],High,"Both AS139285 and AS137551 are APNIC‑registered entities operating in Cambodia, and the parent prefix 103.120.120.0/22 is announced by AS137551 while the more specific /24 is announced by AS139285, indicating a delegated or upstream‑downstream relationship. The lack of any malicious indicators and the regional proximity suggest the invalid route is likely due to a configuration or delegation issue rather than an intentional hijack.",Delegated/upstream-downstream announcement with incomplete ROA coverage for the more specific prefix.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
103.13.184.0/23,N/A,AS139341,['AS134802'],Medium,"The origin AS (AS139341) and the authorized AS (AS134802) are both registered in the APNIC region and the prefix is geolocated to the Philippines, indicating regional proximity. While this suggests a possible upstream/downstream or delegated relationship, there is no concrete evidence of a direct provider‑customer, sibling, or organizational link. Consequently, the conflict is likely benign due to regional operational practices, but the lack of confirmed relationship prevents a high confidence classification.",Delegated/upstream-downstream announcements resulting in a multi-origin prefix with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Regional/Geographical Proximity Influence)']",,
103.169.149.0/24,N/A,AS33617,['AS142339'],High,"The origin AS33617 appears to be a reserved or inactive AS, while the authorized AS142339 actively announces the prefix and has a consistent routing history. IRR records indicate a customer‑provider (upstream‑downstream) relationship between the two, suggesting the RPKI‑invalid announcement is likely a misconfiguration rather than a malicious hijack.",Misconfiguration in a customer‑provider relationship.,"['Delegated / Upstream-Downstream Announcements', 'Hijacks']",,
103.204.72.0/22,N/A,AS4837,"['AS59033', 'AS63689', 'AS132168']",High,"AS4837 (China Unicom) is a major backbone provider and the authorized ASes (AS59033, AS63689, AS132168) are linked to ESUNNET/Esun Technology, indicating a provider‑customer or subsidiary relationship. Historical announcements and multiple route objects show that the prefix has been delegated within this tightly coupled organizational structure, making the invalid route likely a benign conflict.",Delegated / Upstream-Downstream Announcements,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
103.242.13.0/24,N/A,AS133073,"['AS40779', 'AS137283', 'AS137899', 'AS142032', 'AS401696', 'AS401701']",High,"The origin AS (AS133073) announces a prefix that is covered by ROAs belonging to AS40779, AS137283, AS137899, AS142032, AS401696, and AS401701, all of which are registered to HONGKONG CLOUD NETWORK TECHNOLOGY CO., LIMITED. This indicates that the origin AS and the authorized ASes are part of the same organization or closely linked entities, suggesting the invalid announcement is likely the result of a misconfiguration during a prefix transfer or incomplete ROA updates rather than a malicious hijack.",Misconfiguration during prefix transfer or incomplete ROA updates among closely related ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Organizational/Partnership Link)']",,
103.243.140.0/24,N/A,AS24342 (BRACNet Limited),['AS59209 (Walton Hi-Tech Industries Ltd)'],Medium,"Both the origin AS (AS24342) and the authorized AS (AS59209) are registered in Bangladesh, placing them in the same APNIC region and indicating geographic proximity. The announced prefix is a more specific /24 of the authorized allocation, which can occur in delegated or upstream‑downstream scenarios, and the prefix has historically been announced by AS59209, suggesting a possible recent ownership or operational change. However, there is no publicly documented provider‑customer, sibling, or same‑organization relationship between the two entities, and the evidence for a direct business link is weak.",Delegated/upstream-downstream announcement or recent prefix ownership change,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (e.g., local peering, transit, or a specific service arrangement)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
103.25.141.0/24,N/A,AS134783,['AS139898'],High,"The origin AS (AS134783) and the authorized AS (AS139898) have a documented historical prefix transfer of the less specific prefix 103.25.140.0/22 from Amalgamated Telecom Holdings Kiribati Ltd to Digitec Communications Limited in 2013, indicating an operational or ownership relationship. Both operators are telecom entities in the Pacific region, making the invalid announcement more likely a misconfiguration related to the transfer rather than a malicious hijack.",Misconfiguration following a historical prefix ownership transfer between the two ASes.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
103.65.187.0/24,N/A,AS139341,['AS135549'],Medium,"The origin AS (AS139341) and the authorized AS (AS135549) are both located in the Philippines and are APNIC‑assigned, indicating geographic and administrative proximity. No explicit provider‑customer or same‑organization relationship is documented, but the prefix has previously been announced by AS135549 and the current more‑specific announcement by AS139341 aligns with a delegated or upstream‑downstream arrangement, suggesting the ROA invalidity is likely due to a misconfiguration rather than a malicious hijack.",Delegated/upstream‑downstream announcement (possible customer‑provider relationship),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
104.171.22.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"AS22773 announces the prefix but is not listed in the ROA, which contains AS7029 and AS399989. All three ASes are large US ISPs, suggesting a possible upstream/downstream or multi‑origin arrangement, yet no direct customer‑provider, sibling, or organizational link is documented. The lack of concrete relationship evidence keeps the conflict in the medium benign category.",Delegated/upstream-downstream announcement or multi‑origin with partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Peering Arrangements)']",,
104.171.23.0/24,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS (AS22773, Cox Communications) announces a prefix whose ROAs authorize AS7029 (Windstream) and AS399989 (Ultra One). There is no direct evidence of a same‑organization or provider‑customer relationship, but all parties are major US ISPs, suggesting possible upstream/downstream delegation or multi‑origin configurations that could result from misconfiguration or incomplete ROA updates.",Delegated/upstream‑downstream announcement or multi‑origin configuration leading to partial ROA coverage.,"['Delegated / Upstream-Downstream Announcements', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage', 'Others (Complex Peering Arrangements)']",,
104.171.24.0/21,N/A,AS22773,"['AS7029', 'AS399989']",Medium,"The origin AS (AS22773, Cox Communications) announces a US‑based prefix that is authorized in ROAs for AS7029 (Windstream Communications) and AS399989 (Ultra One). The prefix has historically been announced by multiple ASes, indicating a multi‑origin situation with partial ROA coverage. The involved ASes are large US telecom operators, suggesting a delegated or upstream‑downstream arrangement or peering relationship, but there is no direct evidence of a same‑organization or tightly coupled operation.",Multi-origin with partial ROA coverage due to delegated or upstream-downstream relationship.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
104.234.206.0/23,N/A,AS148996,['AS834'],Medium,"The origin AS (AS148996) announces the prefix while the ROA authorizes AS834. The two ASes belong to different registries and have different holders, indicating no direct organizational link. However, circumstantial evidence such as a recent ownership or prefix transfer involving AS148996 and the presence of multi‑origin announcements suggest the ROA may be outdated, pointing to a likely benign configuration issue rather than a malicious hijack.",Possible recent prefix or AS transfer resulting in an outdated ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Misconfiguration in complex peering/transit setups)', 'Multi-Origin with Partial ROA Coverage']",,
108.165.227.0/24,N/A,AS212238,['AS197450'],Medium,"The origin AS (AS212238) and the authorized AS (AS197450) are both located in Turkey, indicating a possible regional or operational relationship, but there is no direct evidence of a shared organization or provider‑customer link. The prefix has been announced by multiple ASes in the past and may have undergone an ownership or delegation change that was not reflected in the ROA, leading to the current invalid status.",Likely a delegated/upstream‑downstream announcement or recent prefix ownership transfer that was not reflected in the ROA.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, cloud edges)', 'Others (Potential Regional Operational Cooperation without Publicly Visible Direct Relationship)', 'Traffic Engineering / Deaggregate Mismatches']",,
112.199.94.0/24,N/A,AS24081,['AS9658'],High,"Both AS24081 and the authorized AS9658 are registered in the Philippines, and the announced /24 is a more‑specific slice of the larger prefixes (e.g., /19, /23) that AS9658 historically announces. This pattern is typical of delegated upstream‑downstream or provider‑customer arrangements, indicating a close operational relationship rather than a malicious hijack.",Delegated upstream‑downstream announcement (provider‑customer relationship) resulting in a more‑specific prefix announcement.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
113.203.231.0/24,N/A,AS6079,['AS138241'],Low,"The origin AS6079 (associated with RCN in the United States) and the authorized AS138241 (associated with Orient Express LDI Limited in Pakistan) are registered in different regional registries (ARIN vs. APNIC) and have no known provider‑customer, sibling, or organizational relationship, nor shared infrastructure, making a benign conflict unlikely.",Likely a hijack or misconfiguration.,"['Hijacks', 'Others (Potential Misconfiguration or Unverified Legitimate Operation)', 'Prefix Transfer / Ownership Change']",,
115.117.224.0/24,N/A,AS17762,"['AS4755', 'AS10199']",High,"The origin AS (AS17762) and the authorized ASes (AS4755, AS10199) are all part of the Tata Group, indicating a strong organizational relationship. The prefix has been announced by AS17762 since 2018, and there is no evidence of recent ownership changes, suggesting the invalidity stems from an internal misconfiguration or outdated ROA rather than a malicious hijack.",Internal misconfiguration within the Tata Group causing a ROA mismatch.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Traffic Engineering / Deaggregate Mismatches']",,
115.186.49.0/24,N/A,AS133933,['AS18053'],Medium,"Both the origin AS (AS133933) and the authorized AS (AS18053) are registered in Pakistan, indicating a regional proximity that often reflects operational ties such as delegated or upstream‑downstream announcements. The prefix has been announced by multiple ASes in the past, including the authorized AS, suggesting a possible transfer or shared usage, but there is no concrete evidence of a direct provider‑customer, sibling, or ownership relationship.",Delegated/upstream‑downstream announcement or prefix transfer.,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)', 'Prefix Transfer / Ownership Change']",,
115.186.50.0/24,N/A,AS133933,['AS18053'],Medium,"Both the origin AS (AS133933) and the authorized AS (AS18053) are registered in Pakistan and belong to the APNIC region, indicating geographic proximity. No direct provider‑customer, sibling, or same‑organization relationship is evident, but the prefix has been announced by multiple ASes previously, suggesting it may be part of an upstream‑downstream or prefix‑transfer arrangement, possibly involving local peering or third‑party services. This indirect operational link makes a benign conflict plausible but not certain.",Upstream‑downstream or prefix‑transfer arrangement between the ASes.,"['Delegated / Upstream-Downstream Announcements', 'Third-Party Announcements (CDNs, DDoS mitigation, cloud edges)', 'Others (Potential Local Peering Arrangement not Reflected in Public Databases)', 'Prefix Transfer / Ownership Change', 'Multi-Origin with Partial ROA Coverage']",,
122.129.87.0/24,N/A,AS17911,"['AS141342', 'AS147302']",High,"The origin AS (AS17911) and the authorized ASes (AS141342, AS147302) are all registered in Pakistan and belong to the same maintenance group, indicating a strong organizational link. The prefix has been announced by AS17911 for many years, and the relationship appears to be a provider‑customer or sibling arrangement, suggesting the invalid route results from a delegated or upstream‑downstream configuration error rather than a malicious hijack.",Delegated/upstream‑downstream announcement leading to a misconfiguration.,"['Prefix Transfer / Ownership Change', 'Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage']",,
124.105.146.0/23,N/A,AS23689,['AS9299'],High,"The origin AS AS23689 and the authorized AS AS9299 are closely related; AS9299 is a major telecom provider in the Philippines and AS23689 appears to be its customer. Both ASes are registered in the Philippines, the prefix has been announced for a long time without any transfer history, and the routing presence is stable, indicating an intra‑organizational or customer‑provider relationship rather than a malicious hijack.",Delegated/upstream‑downstream announcement (customer‑provider relationship),"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
128.254.144.0/24,N/A,AS400384,['AS23470'],High,"Both AS400384 and AS23470 are hosting service providers based in the US, and IRR records suggest an organizational link or partnership between them. The prefix is announced by both ASes, indicating a delegated or upstream‑downstream relationship. The RPKI invalid state is most likely due to a mis‑configured ROA that does not include the delegating origin AS, rather than a malicious hijack.","The ROA was not updated to include the delegating origin AS, resulting in a delegated/upstream‑downstream misconfiguration.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Partnership/Misconfigured ROA)']",,
131.221.211.0/24,N/A,AS268560,['AS28658'],Medium,"Both AS268560 and AS28658 are Brazilian ISPs registered in LACNIC, indicating regional proximity. The announcement is a more specific prefix of the ROA, which may result from delegated or upstream-downstream arrangements, but there is no concrete evidence of a provider‑customer, sibling, or ownership link. The prefix has previously been announced by AS28658, suggesting a possible recent ownership transfer or misconfiguration.",Delegated/upstream-downstream announcement or recent prefix ownership change,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
138.118.42.0/24,N/A,AS37468,['AS264259'],High,"The origin AS37468 and the authorized AS264259 are closely linked, with AS37468 acting as a proxy or upstream provider for AS264259; RIPEstat and IRR records show the prefix originated by AS264259 but maintained by AS37468, indicating a delegated or customer‑provider relationship, which points to a benign conflict.","Delegated/upstream-downstream announcements, possibly due to a misconfiguration or outdated ROA.","['Delegated / Upstream-Downstream Announcements', 'Traffic Engineering / Deaggregate Mismatches', 'Multi-Origin with Partial ROA Coverage']",,
138.255.160.0/24,N/A,AS263508,['AS263975'],High,"Both AS263508 and AS263975 are Brazilian operators assigned by LACNIC, and the IRR record for the prefix mentions a transit relationship ('Transito Flys to Smart Link'), indicating an upstream‑downstream arrangement that is typical of provider‑customer or sibling links. This known operational relationship suggests the RPKI‑invalid announcement is a benign conflict rather than a malicious hijack.","Transit (upstream-downstream) arrangement between the two ASes, reflecting a delegated or recent prefix transfer.","['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Prefix Transfer / Ownership Change']",,
141.11.242.0/24,N/A,AS834,"['AS199737', 'AS212384']",Medium,"AS834 is an IP address leasing company and the ROAs list AS199737 and AS212384 as authorized origins. IRR data shows overlapping management attributes between AS834 and AS199737, suggesting a possible delegated or upstream‑downstream relationship, but there is no direct evidence of a strong provider‑customer or same‑organization link. The situation is consistent with a delegated/upstream‑downstream announcement that results in a multi‑origin prefix with partial ROA coverage, indicating a likely benign configuration despite some uncertainty.",Delegated/upstream-downstream announcement with partial ROA coverage,"['Delegated / Upstream-Downstream Announcements', 'Multi-Origin with Partial ROA Coverage', 'Others (Potential Misconfiguration or Incomplete ROA Setup)']",,
